Date,Open,High,Low,Close,Adj Close,Volume
2022-02-15,801.25,801.75,773.0,779.75,779.75,55714
2022-02-16,779.75,786.75,773.25,780.5,780.5,33006
2022-02-17,780.0,799.25,775.5,798.0,798.0,47683
2022-02-18,797.5,812.25,790.0,797.0,797.0,43499
2022-02-22,815.0,846.25,803.0,844.25,844.25,47217
2022-02-23,841.0,880.0,834.0,876.0,876.0,28032
2022-02-24,882.75,926.0,877.25,926.0,926.0,26655
2022-02-25,923.25,951.25,841.5,843.0,843.0,8868
2022-02-28,920.25,930.5,885.5,928.0,928.0,1092
2022-03-01,951.0,1004.5,951.0,1001.75,1001.75,507
2022-03-02,1009.25,1132.0,997.5,1058.5,1058.5,458
2022-03-03,1124.25,1289.0,1119.0,1289.0,1289.0,374
2022-03-04,1340.0,1348.0,1201.5,1348.0,1348.0,147
2022-03-07,1311.25,1425.25,1311.25,1425.25,1425.25,79
2022-03-08,1319.25,1319.25,1273.0,1273.0,1273.0,29
2022-03-09,1199.5,1199.5,1199.5,1199.5,1199.5,5
2022-03-10,1073.75,1073.75,1073.75,1073.75,1073.75,6
2022-03-11,1035.75,1090.0,1030.75,1090.0,1090.0,10
2022-03-14,1090.0,1090.0,1090.0,1090.0,1090.0,38656
2022-03-15,1106.0,1160.75,1088.25,1154.25,1154.25,30964
2022-03-16,1157.25,1159.5,1069.25,1069.25,1069.25,37914
2022-03-17,1051.0,1108.25,1031.75,1098.0,1098.0,31158
2022-03-18,1095.0,1106.0,1055.75,1063.75,1063.75,19393
2022-03-21,1075.0,1148.75,1061.75,1119.25,1119.25,37035
2022-03-22,1119.25,1169.25,1102.25,1118.25,1118.25,29006
2022-03-23,1119.25,1139.0,1101.0,1105.75,1105.75,24464
2022-03-24,1105.75,1115.0,1080.5,1085.75,1085.75,22420
2022-03-25,1089.5,1109.0,1064.75,1102.25,1102.25,27912
2022-03-28,1092.75,1096.0,1047.0,1057.0,1057.0,26162
2022-03-29,1047.0,1068.25,972.0,1014.25,1014.25,45986
2022-03-30,1015.0,1041.75,1002.25,1027.25,1027.25,26336
2022-03-31,1030.25,1075.0,1003.5,1006.0,1006.0,36848
2022-04-01,1007.25,1032.75,982.5,984.5,984.5,33853
2022-04-04,989.5,1014.5,984.75,1010.25,1010.25,26349
2022-04-05,1020.5,1074.0,1020.0,1045.25,1045.25,26923
2022-04-06,1049.5,1056.25,1023.5,1038.25,1038.25,27905
2022-04-07,1040.25,1044.5,1017.75,1020.0,1020.0,50501
2022-04-08,1020.0,1054.25,1017.0,1051.5,1051.5,47599
2022-04-11,1056.0,1091.75,1055.0,1081.25,1081.25,55247
2022-04-12,1077.75,1117.5,1075.0,1103.75,1103.75,50433
2022-04-13,1102.5,1124.25,1078.0,1113.5,1113.5,53460
2022-04-14,1113.0,1127.5,1094.25,1096.5,1096.5,20653
2022-04-18,1099.25,1134.75,1098.25,1120.5,1120.5,13169
2022-04-19,1123.25,1135.0,1096.0,1099.0,1099.0,18099
2022-04-20,1094.75,1109.75,1066.75,1088.0,1088.0,15110
2022-04-21,1094.25,1094.25,1052.5,1068.0,1068.0,11174
2022-04-22,1070.0,1076.0,1052.5,1065.5,1065.5,15258
2022-04-25,1065.75,1080.0,1045.75,1062.0,1062.0,12075
2022-04-26,1069.75,1096.0,1066.75,1083.25,1083.25,9543
2022-04-27,1081.25,1087.0,1067.75,1080.0,1080.0,7092
2022-04-28,1082.5,1094.0,1070.0,1074.0,1074.0,6965
2022-04-29,1071.25,1085.0,1043.75,1043.75,1043.75,577
2022-05-02,1037.5,1050.25,1029.25,1043.5,1043.5,341
2022-05-03,1045.0,1056.0,1033.75,1033.75,1033.75,177
2022-05-04,1042.25,1069.75,1042.25,1066.0,1066.0,288
2022-05-05,1084.5,1096.0,1084.5,1096.0,1096.0,184
2022-05-06,1098.5,1098.5,1097.0,1097.0,1097.0,68
2022-05-09,1084.0,1086.0,1081.5,1083.25,1083.25,92
2022-05-10,1096.75,1098.5,1083.25,1083.25,1083.25,42
2022-05-11,1109.25,1115.0,1100.0,1108.75,1108.75,53
2022-05-12,1107.75,1174.5,1103.25,1174.5,1174.5,157
2022-05-13,1167.25,1167.25,1167.25,1167.25,1167.25,35248
2022-05-16,1234.25,1247.5,1222.25,1247.5,1247.5,53773
2022-05-17,1268.0,1284.0,1200.75,1277.5,1277.5,73671
